states,district,year,homicide/murder/uninterntional/DGU,total number of injuries,mass shootings,mass murders
California,1,2021,19,32,0,0
California,2,2021,18,27,1,0
California,3,2021,28,30,1,0
California,4,2021,15,16,0,0
California,5,2021,26,36,1,0
California,6,2021,57,67,1,0
California,7,2021,27,29,2,0
California,8,2021,35,38,1,0
California,9,2021,55,105,2,0
California,10,2021,24,47,0,0
California,11,2021,37,54,2,0
California,12,2021,38,94,1,0
California,13,2021,119,358,9,0
California,14,2021,13,16,0,0
California,15,2021,11,17,0,0
California,16,2021,85,186,2,0
California,17,2021,12,11,0,0
California,18,2021,3,11,0,0
California,19,2021,37,46,1,1
California,20,2021,43,47,2,0
California,21,2021,94,113,1,1
California,22,2021,41,51,0,0
California,23,2021,58,46,0,0
California,24,2021,29,43,1,0
California,25,2021,28,22,1,1
California,26,2021,13,25,0,0
California,27,2021,20,15,0,0
California,28,2021,19,23,1,0
California,29,2021,24,16,0,0
California,30,2021,10,18,0,0
California,31,2021,47,21,0,0
California,32,2021,31,13,0,0
California,33,2021,8,15,1,0
California,34,2021,52,46,0,0
California,35,2021,29,20,1,0
California,36,2021,34,51,2,0
California,37,2021,37,50,0,0
California,38,2021,21,16,0,0
California,39,2021,16,11,0,0
California,40,2021,57,47,1,0
California,41,2021,30,20,1,0
California,42,2021,17,6,0,0
California,43,2021,59,55,2,0
California,44,2021,88,50,3,0
California,45,2021,1,3,0,0
California,46,2021,32,23,2,1
California,47,2021,40,37,0,0
California,48,2021,7,15,0,0
California,49,2021,7,8,0,0
California,50,2021,11,15,0,0
California,51,2021,36,68,1,0
California,52,2021,12,21,2,0
California,53,2021,25,36,0,0
